Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Pin),Im(Pin),Re(Zout),Im(Zout),Re(Pout),Im(Pout),Re(Zin),Im(Zin),Re(Av),Im(Av),Re(Ai),Im(Ai)
Hz,V,V,V,V,A,A,A,A,W,W,Ohms,Ohms,W,W,Ohms,Ohms,,,,
1.000e+01,2.300e+00,0.000e+00,-1.073e+00,0.000e+00,4.600e-02,0.000e+00,2.249e-02,0.000e+00,1.058e-01,0.000e+00,9.375e+01,0.000e+00,-2.414e-02,0.000e+00,5.870e+01,0.000e+00,-4.667e-01,0.000e+00,4.889e-01,0.000e+00
1.111e+06,2.300e+00,0.000e+00,-1.073e+00,0.000e+00,4.600e-02,0.000e+00,2.249e-02,0.000e+00,1.058e-01,0.000e+00,9.375e+01,0.000e+00,-2.414e-02,0.000e+00,5.870e+01,0.000e+00,-4.667e-01,0.000e+00,4.889e-01,0.000e+00
2.222e+06,2.300e+00,0.000e+00,-1.073e+00,0.000e+00,4.600e-02,0.000e+00,2.249e-02,0.000e+00,1.058e-01,0.000e+00,9.375e+01,0.000e+00,-2.414e-02,0.000e+00,5.870e+01,0.000e+00,-4.667e-01,0.000e+00,4.889e-01,0.000e+00
3.333e+06,2.300e+00,0.000e+00,-1.073e+00,0.000e+00,4.600e-02,0.000e+00,2.249e-02,0.000e+00,1.058e-01,0.000e+00,9.375e+01,0.000e+00,-2.414e-02,0.000e+00,5.870e+01,0.000e+00,-4.667e-01,0.000e+00,4.889e-01,0.000e+00
4.444e+06,2.300e+00,0.000e+00,-1.073e+00,0.000e+00,4.600e-02,0.000e+00,2.249e-02,0.000e+00,1.058e-01,0.000e+00,9.375e+01,0.000e+00,-2.414e-02,0.000e+00,5.870e+01,0.000e+00,-4.667e-01,0.000e+00,4.889e-01,0.000e+00
5.556e+06,2.300e+00,0.000e+00,-1.073e+00,0.000e+00,4.600e-02,0.000e+00,2.249e-02,0.000e+00,1.058e-01,0.000e+00,9.375e+01,0.000e+00,-2.414e-02,0.000e+00,5.870e+01,0.000e+00,-4.667e-01,0.000e+00,4.889e-01,0.000e+00
6.667e+06,2.300e+00,0.000e+00,-1.073e+00,0.000e+00,4.600e-02,0.000e+00,2.249e-02,0.000e+00,1.058e-01,0.000e+00,9.375e+01,0.000e+00,-2.414e-02,0.000e+00,5.870e+01,0.000e+00,-4.667e-01,0.000e+00,4.889e-01,0.000e+00
7.778e+06,2.300e+00,0.000e+00,-1.073e+00,0.000e+00,4.600e-02,0.000e+00,2.249e-02,0.000e+00,1.058e-01,0.000e+00,9.375e+01,0.000e+00,-2.414e-02,0.000e+00,5.870e+01,0.000e+00,-4.667e-01,0.000e+00,4.889e-01,0.000e+00
8.889e+06,2.300e+00,0.000e+00,-1.073e+00,0.000e+00,4.600e-02,0.000e+00,2.249e-02,0.000e+00,1.058e-01,0.000e+00,9.375e+01,0.000e+00,-2.414e-02,0.000e+00,5.870e+01,0.000e+00,-4.667e-01,0.000e+00,4.889e-01,0.000e+00
1.000e+07,2.300e+00,0.000e+00,-1.073e+00,0.000e+00,4.600e-02,0.000e+00,2.249e-02,0.000e+00,1.058e-01,0.000e+00,9.375e+01,0.000e+00,-2.414e-02,0.000e+00,5.870e+01,0.000e+00,-4.667e-01,0.000e+00,4.889e-01,0.000e+00
